QUESTION,CORRECT ANSWER,INCORRECT ANSWER 1,INCORRECT ANSWER 2,INCORRECT ANSWER 3,EXPLANATION WHY CORRECT IS CORRECT,,,,,,,,,,,
A socio/economic system that allows for ownership of real property:,Allodial,Non-allodial,Socialism,,,,,,,,,,,,,
Which of the following is NOT one of the physical characteristics of real property?,Moveable,Immobile,Indestructible,Non-homogenous,,,,,,,,,,,,
Which of the following is NOT another term for personal property:,Habendum,Chattel,Personalty,,,,,,,,,,,,,
Manner of attachment (annexation),Time it has been in place,How it is adapted to the property,Grantor‰\200\231s intent,Agreement of the parties,,,,,,,,,,,,
Trade fixtures are always personal property.,TRUE,FALSE,,,,,,,,,,,,,,
Trade fixtures always belong to the building.,FALSE,TRUE,,,,,,,,,,,,,,
Real property into personal property is an example of:,Severance,Improvement,Accession,,,,,,,,,,,,,
Addition made by man is an example of:,Improvement,Severance,Accession,,,,,,,,,,,,,
Additions made by man or nature is an example of:,Accession,Severance,Improvement,,,,,,,,,,,,,
The definition of real property includes land  everything appurtenant to the land  the air space to infinity and the subsurface to the center of the earth.,TRUE,FALSE,,,,,,,,,,,,,,
All property is either ______   or ______ property.,Real, Personal,Real, Government,Permanent, Impermanent,,,,,,,,,,
A fixture is that which is unattached without losing its identity.  It is ALWAYS a real property.,FALSE,TRUE,,,,,,,,,,,,,,
Water rights are:,Real property,Personal property,,,,,,,,,,,,,,
Water shares are:,Personal property,Real property,,,,,,,,,,,,,,
Emblements:  crops nurtured in the year of the sale.,TRUE,FALSE,,,,,,,,,,,,,,
A common wall between twin homes is an example of a party wall.,TRUE,FALSE,,,,,,,,,,,,,,
Police Power,Justice,Taxation,Eminent Domain,Escheat,,,,,,,,,,,,
A private entity may acquire property through eminent domain.,TRUE,FALSE,,,,,,,,,,,,,,
An easement or leasehold right may be acquired through eminent domain.,TRUE,FALSE,,,,,,,,,,,,,,
Just compensation is established by an appraisal.,TRUE,FALSE,,,,,,,,,,,,,,
Zoning restrictions protect the public‰\200\231s:,Health, Safety, Welfare and Morals,Health, Safety, Welfare and Money,Home, Safety, Welfare and Money,Home, Safety, Welfare and Morals,,,,
One parcel of property zoned differently than surrounding parcels is called section zoning.,FALSE,TRUE,,,,,,,,,,,,,,
To control density  zoning regulates open space on a lot by establishing __________ yard and _________ yard requirements as well as setback lines.,Side, Back,Front, Side,Front, Back,,,,,,,,,,
General zoning classifications for property use are:,Agriculture, Residential, Commercial,  Manufacturing/Industrial,Adjustments, Residential, Commercial, Manufacturing, Income,Agriculture, Relativity, Commercial, Manufacturing and Industrial,,,
A restrictive covenant could create a defeasible fee?,TRUE,FALSE,,,,,,,,,,,,,,
Easement in gross:,Runs with the person or the need,Runs with the land or the deed,,,,,,,,,,,,,,
Easement appurtenant:,Runs with the land or the deed,Runs with the person or the need,,,,,,,,,,,,,,
A utility easement is an example of a gross easement.,TRUE,FALSE,,,,,,,,,,,,,,
Easements can be created by mutual consent.,TRUE,FALSE,,,,,,,,,,,,,,
Easements can be created by a reservation in the:,Deed,Consent,Implication,Prescription,,,,,,,,,,,,
Landlock could lead to an easement by:,Necessity,Implication,Prescription,Consent,,,,,,,,,,,,
Excluded mineral rights might lead to an easement by:,Implication,Consent,Deed,Necessity,,,,,,,,,,,,
Adverse use is an easement by:,Prescription,Consent,Necessity,Implication,,,,,,,,,,,,
The statutory period for obtaining a prescriptive easement in Utah is _________ years.,20,5,7,17,,,,,,,,,,,,
The Brown‰\200\231s obtained an easement giving access to a fishing stream on an adjoining property. Would this cause the value of Brown‰\200\231s property to go:,Up,Down,Remain the same,,,,,,,,,,,,,
The Constitution guarantees that no person can be deprived of life  liberty or _____________without due process of law.,Property,Family,Freedom,Food,,,,,,,,,,,,
The Constitution guarantees there can be no taking of property without just compensation.,TRUE,FALSE,,,,,,,,,,,,,,
For property to be acquired under Eminent Domain  a _______ action is necessary.  To qualify for this, the government must show public use or good.,Condemnation,Lawsuit,Will,,,,,,,,,,,,
When individuals sue the government to condemn their own property  it is a case of __________ condemnation.,Inverse,Outward,Reverse,,,,,,,,,,,,,
When government takes property by Eminent Domain to cure a blighted area it is called urban renewal.,TRUE,FALSE,,,,,,,,,,,,,,
The biggest difference between Eminent Domain and Police Power is that with Police Power there is no ________ because there is no ‰\200\234taking.‰\200\235,Compensation,Freedom,Denial,,,,,,,,,,,,,
Zoning is a right of this level(s) of government:,State,Senate,Legislature,Judicial,,,,,,,,,,,,
When a land use existed before a zoning change  and is now different than what the zoning allows  it is referred to as a legal non- _____________ use.,Conforming,Allowed,Conforming,Prosperous,,,,,,,,,,,,
conforming land use is approved after the zoning change, it is referred to as a(n):,Variance,Valuable asset,Easement,Encroachment,,,,,,,,,,,
When asking for zoning modifications  one would apply to the Division of Real Estate.,FALSE,TRUE,,,,,,,,,,,,,,
The boundary of a property that parallels the street is referred to as front feet.  In a property described as 120‰\200\231 by 111‰\200\231 which is the front feet?,120,111,,,,,,,,,,,,,,
Private deed restrictions are referred to by the initials  C C &  R‰\200\231s.  These apply to condominiums.  For subdivisions they are called the uniform Declaration of Restrictions    or sometimes they are referred to as restrictive  covanants.,TRUE,FALSE,,,,,,,,,,,,,,
If private restrictions and zoning laws are different (zoning says a 40' setback line  private restrictions says 30') you must follow the one that is _______________ restrictive.   When private restrictions are violated  the violator can be stopped with a(n):,Most, Injunction, Injunction, Ticket,Most, Fine,Least, Injunctive,,,,,,,,
An encumbrance might be referred to as a ______________ on the title.,Cloud,Smudge,Error,,,,,,,,,,,,,
You can prevent someone getting an easement by prescription on your property by formally permitting the use or by:,Prohibiting the use.,Allowing the use and letting them get in trouble. That way they will learn.,,,,,,,,,,,,,,
