In the case of a foreclosure sale where $50,000 equity is realized from the sale, who gets the equity?,Lien Theory: Borrower; Title Theory: Lender,Lien Theory: Lender; Title Theory: Borrower,Lien Theory: Lender; Title Theory: Lender,Lien Theory: Borrower; Title Theory: Borrower,
Which of the following is part of a mortgage?,Hypothecation,Habendum clause,Amortization,Acceleration,
Which of the following will NOT be used to secure a loan for the purchase of a home?,Trusteeâ\200\231s Deed,Deed of Trust,Mortgage,Trust Deed,
Which of the following does NOT apply to mortgage.,Owner must "reinstate" the loan,Foreclosure is a judicial process and court is held,The statutory period of redemption follows the sale,A deficiency judgment always is allowed,
Which of the following does NOT apply to Trust Deed & Note.,To redeem the property the owner must pay off everything,A Notice of Default and a lis pendens is filed,There is approximately four months before the foreclosure sale,When the loan is paid off, the borrower receives a "Reconveyance of Deed",
When one enters into a land contract, or contract for deed, the borrower will not receive a deed to the property until the debt is paid in full.,True,False,,,
A Certificate of Estoppel reveals all current information about the existing loan.,True,False,,,
When you give something as collateral, and you DO give up possession, that is called:,Pledge,Donation,Hypothecation,,
In a Lien Theory state, title to the property is held by the borrower and the lender holds a lien until the loan is paid off.  If default occurs, the lender can foreclose.,True,False,,,
Utah is a __________ theory state.,Lien,Title,Mortgage,,
A Uniform Real Estate Contract (also known as a Land Contract, Contract for Deed, or Installment Sales Contract) is written as though Utah is a _________ Theory State.,Title,Lien,Mortgage,,
If there are no other liens against the property, and the borrower is in default, the lender might accept a ____________ in lieu of foreclosure, sometimes called a â\200\234friendly foreclosure.â\200\235,Deed,Loan,Title,,
A deed in foreclosure is an example of _____alienation.,Involuntary,Voluntary,,,
Once the buyer and seller have signed a uniform real estate sales contract, the buyer receives equitable title while the seller retains legal title.,True,False,,,
When you give something as collateral for a loan, but DO NOT give up possession of it, that is known as hypothecation.,True,False,,,
